scenario,region,variables,unit,2020,2025,2030,2035,2040,2045,2050
Ambitious - remind,IND,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Very Ambitious - remind,IND,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Business as usual - remind,JPN,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Ambitious - remind,JPN,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Very Ambitious - remind,JPN,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Business as usual - remind,OAS,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Ambitious - remind,OAS,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Very Ambitious - remind,OAS,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Business as usual - remind,MEA,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Ambitious - remind,MEA,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Very Ambitious - remind,MEA,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Business as usual - remind,REF,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Ambitious - remind,REF,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Very Ambitious - remind,REF,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Business as usual - remind,USA,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Ambitious - remind,USA,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Very Ambitious - remind,USA,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Business as usual - remind,EUR,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Ambitious - remind,EUR,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Very Ambitious - remind,EUR,Efficiency|Hydrogen|BIO,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Business as usual - remind,CHA,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Ambitious - remind,CHA,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Very Ambitious - remind,CHA,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Business as usual - remind,LAM,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Ambitious - remind,LAM,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Very Ambitious - remind,LAM,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Business as usual - remind,CAZ,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Ambitious - remind,CAZ,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Very Ambitious - remind,CAZ,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Business as usual - remind,NEU,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Ambitious - remind,NEU,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Very Ambitious - remind,NEU,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Business as usual - remind,SSA,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Ambitious - remind,SSA,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Very Ambitious - remind,SSA,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Business as usual - remind,IND,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Ambitious - remind,IND,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Very Ambitious - remind,IND,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Business as usual - remind,JPN,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Ambitious - remind,JPN,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Very Ambitious - remind,JPN,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Business as usual - remind,OAS,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Ambitious - remind,OAS,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Very Ambitious - remind,OAS,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Business as usual - remind,MEA,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
Ambitious - remind,MEA,Efficiency|Hydrogen|BIO-CCS,-,0.54,0.56,0.57,0.59,0.61,0.62,0.64
